file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00,0 days 00:00:00.020000,0.0010943027,-43.231358,58.844913,-0.051167157,0.047034156,0.0,6.248354,9.557996,12.125325,13.858513,0.0,0.0,0.0,0.0,0.0,0.0,1060.3173,1557.92,-201.0,2119.5925,1513.0287,-201.0,3181.7053,1423.0043,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.010000,0 days 00:00:00.030000,0.0010955239,-41.69922,57.35664,-0.045554448,0.044544082,1.2021588e-06,6.3380756,9.650451,12.159516,13.792981,0.0,0.0,0.0,0.0,0.0,0.0,1059.6617,1556.1514,-201.0,2118.377,1508.8378,-201.0,3183.4045,1411.4982,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.020000,0 days 00:00:00.040000,0.017682184,-27.934586,44.196728,-0.012915705,0.031738933,0.0029869583,15.835847,-6.0295815,7.118019,1.2087148,0.0,0.0,0.0,0.0,0.0,0.0,1098.044,1485.7816,-201.0,2184.6558,1360.5826,-201.0,3215.949,1283.9966,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.030000,0 days 00:00:00.050000,0.031108653,-14.196091,30.956696,0.015010796,0.02478618,0.004569293,24.186422,-19.224539,3.4521601,-7.370678,0.0,0.0,0.0,0.0,0.0,0.0,911.2476,1301.3273,-201.0,1976.1855,1226.991,-201.0,3067.379,1112.309,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.040000,0 days 00:00:00.060000,0.043332364,-3.4845135,17.141706,0.042511463,0.0127132265,0.006180079,32.49848,-30.606226,3.7415314,-17.460958,0.0,0.0,0.0,0.0,0.0,0.0,699.2618,1275.142,-201.0,1744.2987,1222.6788,-201.0,2746.9153,1116.3842,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.050000,0 days 00:00:00.070000,0.03783873,-3.671068,13.176707,0.04637897,0.014172439,0.004174151,30.235489,-27.091835,10.003515,-13.177361,0.0,0.0,0.0,0.0,0.0,0.0,448.18054,1404.6981,-201.0,1457.514,1386.9033,-201.0,2423.4382,1186.9146,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.060000,0 days 00:00:00.080000,0.035789967,-3.287528,8.237251,0.062163502,0.009619801,0.0032408757,28.469507,-26.770226,16.723213,-13.4430895,0.0,0.0,0.0,0.0,0.0,0.0,562.69727,1473.431,-201.0,1555.6544,1318.2266,-201.0,2423.9426,1204.5181,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.070000,0 days 00:00:00.090000,0.036730185,-2.4019818,7.509073,0.06231108,0.010771702,0.0026593227,28.439066,-27.417685,19.492308,-12.978288,0.0,0.0,0.0,0.0,0.0,0.0,573.47504,1432.6904,-201.0,1598.7281,1300.2885,-201.0,2370.2751,1246.418,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.080000,0 days 00:00:00.100000,0.037030786,-2.8013306,8.8493185,0.05296747,0.0130148865,0.0025798671,29.254545,-26.63713,22.408674,-10.794232,0.0,0.0,0.0,0.0,0.0,0.0,569.5697,1436.049,-201.0,1597.7808,1274.0581,-201.0,2307.165,1458.0399,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.090000,0 days 00:00:00.110000,0.035033748,-3.8050394,10.914182,0.046698462,0.014831334,0.0028067243,28.681694,-23.643557,24.701393,-9.416884,0.0,0.0,0.0,0.0,0.0,0.0,595.017,1363.9872,-201.0,1622.5968,1275.1664,-201.0,2301.737,1472.2539,-201.0
