Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.07954332,3.7502,-0.5633432,-0.03984793,-0.0017026033,0.0030157224,-13.991534,44.17683,5.621374,-8.4744425,0.0,0.0,0.0,0.0,0.0,0.0,315.49277,1548.0137,-201.0,1590.6552,1216.32,-201.0,1817.3854,1189.1376,-201.0
0.08549094,4.133247,-0.16027275,-0.025591614,0.0010966706,0.0075365193,-13.290939,43.923412,3.5211468,-8.384357,0.0,0.0,0.0,0.0,0.0,0.0,620.14777,1354.9309,-201.0,1686.1515,1148.3164,-201.0,2348.3965,1273.7069,-201.0
0.14557841,5.065048,0.53744346,0.003861549,0.0039556175,0.03321971,-13.293784,43.90504,0.54023355,-8.450477,0.0,0.0,0.0,0.0,0.0,0.0,1006.5866,1055.4307,-201.0,1783.12,1067.0249,-201.0,2978.6072,1195.1652,-201.0
0.18418002,3.3198884,2.7146094,0.042386558,0.0021651043,0.046006452,-11.244689,45.157104,1.8621882,-12.499801,0.0,0.0,0.0,0.0,0.0,0.0,1240.8519,779.51514,-201.0,1999.8486,1202.6423,-201.0,3473.1199,1063.745,-201.0
0.20634432,1.3973008,4.3477874,0.06015103,-0.007098365,0.053542897,-7.7169666,47.300995,1.8889004,-19.976725,0.0,0.0,0.0,0.0,0.0,0.0,1150.1344,759.04364,-201.0,2039.8428,1386.2852,-201.0,3581.489,873.2657,-201.0
0.1722229,0.9834273,2.5676112,0.06054477,-0.015795706,0.03917277,-5.9460597,49.34372,0.30769,-28.716578,0.0,0.0,0.0,0.0,0.0,0.0,942.8747,871.01605,-201.0,2004.1254,1613.941,-201.0,3575.298,845.48114,-201.0
0.15762597,1.3732136,0.5728643,0.071484745,-0.023353392,0.03307031,-5.0741515,53.640514,-0.6744928,-31.596209,0.0,0.0,0.0,0.0,0.0,0.0,854.52783,1077.5759,-201.0,1978.188,1775.627,-201.0,3630.2566,878.09814,-201.0
0.1473291,2.2732542,0.004152695,0.06458191,-0.025039509,0.031185204,-7.0287566,55.87497,-0.7953911,-29.227148,0.0,0.0,0.0,0.0,0.0,0.0,759.85187,1138.9923,-201.0,1910.7223,1840.773,-201.0,3629.5188,930.1414,-201.0
0.1318251,1.6605688,1.4024636,0.055326167,-0.024611413,0.02783533,-6.896814,56.172516,1.0315837,-25.640594,0.0,0.0,0.0,0.0,0.0,0.0,646.9114,1071.2109,-201.0,1844.7457,1999.6849,-201.0,3063.6423,1221.4237,-201.0
0.121825136,4.295504,-1.3858312,0.024582798,-0.024397606,0.024402207,-9.679364,53.690914,-0.29749516,-27.348871,0.0,0.0,0.0,0.0,0.0,0.0,515.6599,856.2788,-201.0,1776.6344,1980.1393,-201.0,2529.7776,1556.4796,-201.0
0.10590427,3.3147984,-0.10052999,0.001002842,-0.016050672,0.021597534,-10.715777,52.837223,1.4228116,-21.548681,0.0,0.0,0.0,0.0,0.0,0.0,417.27744,842.5774,-201.0,1725.0541,1635.5795,-201.0,1943.6035,1764.5873,-201.0
0.09571245,2.7949708,1.6871275,-0.020647826,-0.0090259425,0.017931098,-12.472794,52.890743,3.3624089,-14.614821,0.0,0.0,0.0,0.0,0.0,0.0,767.8763,864.8088,-201.0,1774.569,1379.103,-201.0,2540.8105,1449.8656,-201.0
